브랜드,제품 이름,차 종류,"맛,향(필터링)",효능(필터링),카페인 여부,1개당 가격,url,재고
티즌,해열 쿨쿨 유자티,블렌딩 티,시트러스,추운날,X,1990,https://smartstore.naver.com/teason/products/5881649075?NaPm=ct%3Dkvzk19iz%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D5cfee5fc9ba68117a8a28b2bed1cb5d5cadbd853,26
티즌,허그미 애플티,블렌딩 티,"달콤, 구수","건강, 소화, 추운날",X,1990,https://smartstore.naver.com/teason/products/5050499558?NaPm=ct%3Dkvzk0zfn%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D597d8e3247c756955e34ae72c7ba93ad3c574ba2,25
작심랩,콤부차(자몽맛),모험,"시트러스, 과일","건강, 다이어트및피부관리, 소화",O,794,https://m.zaksimlab.com/product/detail2.html?product_no=29#none,28
작심랩,콤부차(레몬맛),모험,시트러스,"건강, 다이어트및피부관리, 소화",O,794,https://m.zaksimlab.com/product/detail2.html?product_no=29#none,28
작심랩,콤부차(블루베리맛),모험,"달콤, 시트러스, 과일","건강, 다이어트및피부관리, 소화",O,794,https://m.zaksimlab.com/product/detail2.html?product_no=29#none,27
작심랩,콤부차(복숭아맛),모험,"시트러스, 달콤, 과일","건강, 다이어트및피부관리, 소화",O,794,https://m.zaksimlab.com/product/detail2.html?product_no=29#none,29
작심랩,콤부차(매실맛),모험,시트러스,"건강, 다이어트및피부관리, 소화",O,794,https://m.zaksimlab.com/product/detail2.html?product_no=29#none,29
투티거스 호랑이 다과점,푸른밤의정원,블렌딩 티,"시트러스,허브",추운날,O,1900,https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd,30
투티거스 호랑이 다과점,딸기정원,"홍차, 과일차","과일,달콤 ",추운날,O,1800,https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd,26
투티거스 호랑이 다과점,레몬녹차,녹차,"시트러스, 구수","소화, 다이어트및피부관리",O,1700,https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd,31
투티거스 호랑이 다과점,딸기부케,"블렌딩 티, 과일차","과일, 달콤","추운날, 다이어트및피부관리",O,1700,https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd,32
투티거스 호랑이 다과점,비밀의화원,블렌딩 티,"시트러스, 허브","안정 및 숙면, 소화",X,1900,https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd,23
투티거스 호랑이 다과점,자스민그린티,"녹차, 허브차","꽃, 구수","건강,소화",O,1700,https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd,23
투티거스 호랑이 다과점,로즈민트,"블렌딩 티, 허브차","매운/민트, 허브","기분전환,소화",O,1600,https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd,26
투티거스 호랑이 다과점,라벤더민트,"블렌딩 티, 허브차","매운/민트, 허브","기분전환,소화",O,1600,https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd,26
투티거스 호랑이 다과점,카모마일,"꽃차, 허브차",꽃,"안정 및 숙면, 소화",X,1300,https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd,22
투티거스 호랑이 다과점,레몬부케,블렌딩 티,꽃,다이어트및피부관리,O,1600,https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd,30
투티거스 호랑이 다과점,제주유기농녹차,녹차,구수,건강,O,1700,https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd,28
큐앤리브리즈,시트러스 러브,블렌딩 티,시트러스,기분전환,X,1500,https://kewandleaves.com/product/no612%EC%8B%9C%ED%8A%B8%EB%9F%AC%EC%8A%A4-%EB%9F%AC%EB%B8%8C-%ED%8B%B0%EB%B0%B1-%ED%8C%8C%EC%9A%B0%EC%B9%98-25g-x-10%EA%B0%9C%EC%9E%85/177/category/52/display/1/,28
큐앤리브리즈,레모니 우롱,과일차,시트러스,다이어트및피부관리,O,1500,https://kewandleaves.com/product/no741-%EB%A0%88%EB%AA%A8%EB%8B%88-%EC%9A%B0%EB%A1%B1-%ED%8B%B0%EB%B0%B1-%ED%8C%8C%EC%9A%B0%EC%B9%98-25g-x-10%EA%B0%9C%EC%9E%85/181/category/52/display/1/,27
큐앤리브리즈,블랙유주,블렌딩 티,"달콤,꽃",기분전환,O,1500,https://kewandleaves.com/product/no113-%EB%B8%94%EB%9E%99-%EC%9C%A0%EC%A3%BC-%ED%8B%B0%EB%B0%B1-%ED%8C%8C%EC%9A%B0%EC%B9%98-25g-x-10%EA%B0%9C%EC%9E%85/179/category/52/display/1/,30
