295,"그린 루이보스","위아루이","허브차","구수, 허브","O","다이어트및피부관리",\N,"https://www.rooi.co.kr/product/green15","1067","29","2021-11-14 21:16:36","2021-11-14 21:16:36"
296,"콜라 홍차","프롬해빗","홍차","구수,과일","O","소화",\N,"https://smartstore.naver.com/fromhabbit/products/5889189777?NaPm=ct%3Dkvzkrmoh%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D927bd61f5f9f526f830711ff0eb0cc66e9a2aa4b","590","27","2021-11-14 21:16:36","2021-11-14 21:16:36"
297,"오렌지 히비스커스","프롬해빗","허브차,과일차","시트러스","X","기분전환",\N,"https://smartstore.naver.com/fromhabbit/products/5889189777?NaPm=ct%3Dkvzkrmoh%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D927bd61f5f9f526f830711ff0eb0cc66e9a2aa4b","590","26","2021-11-14 21:16:36","2021-11-14 21:16:36"
298,"복숭아 꽃차","프롬해빗","꽃차","달콤","X","안정 및 숙면",\N,"https://smartstore.naver.com/fromhabbit/products/5889189777?NaPm=ct%3Dkvzkrmoh%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D927bd61f5f9f526f830711ff0eb0cc66e9a2aa4b","590","27","2021-11-14 21:16:36","2021-11-14 21:16:36"
299,"비타민 나무베리 루이보스","프롬해빗","허브차","구수,시트러스","X","소화, 에너지",\N,"https://smartstore.naver.com/fromhabbit/products/5889189777?NaPm=ct%3Dkvzkrmoh%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D927bd61f5f9f526f830711ff0eb0cc66e9a2aa4b","590","26","2021-11-14 21:16:36","2021-11-14 21:16:36"
300,"시나몬 마테","프롬해빗","허브차","달콤, 구수","O","안정 및 숙면, 소화",\N,"https://smartstore.naver.com/fromhabbit/products/5889189777?NaPm=ct%3Dkvzkrmoh%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D927bd61f5f9f526f830711ff0eb0cc66e9a2aa4b","590","30","2021-11-14 21:16:36","2021-11-14 21:16:36"
301,"마리골드, 레몬머틀","프롬해빗","과일차, 허브차","달콤, 시트러스","X","기분전환, 안정 및 숙면",\N,"https://smartstore.naver.com/fromhabbit/products/5889189777?NaPm=ct%3Dkvzkrmoh%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D927bd61f5f9f526f830711ff0eb0cc66e9a2aa4b","590","24","2021-11-14 21:16:36","2021-11-14 21:16:36"
302,"장미,홍차","프롬해빗","홍차","구수,꽃","O","에너지, 소화",\N,"https://smartstore.naver.com/fromhabbit/products/5889189777?NaPm=ct%3Dkvzkrmoh%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D927bd61f5f9f526f830711ff0eb0cc66e9a2aa4b","590","30","2021-11-14 21:16:36","2021-11-14 21:16:36"
303,"애플 민트","프롬해빗","과일차, 허브차","달콤, 매운/민트, 과일","X","기분전환, 건강,소화",\N,"https://smartstore.naver.com/fromhabbit/products/5889189777?NaPm=ct%3Dkvzkrmoh%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D927bd61f5f9f526f830711ff0eb0cc66e9a2aa4b","590","24","2021-11-14 21:16:36","2021-11-14 21:16:36"
304,"꽃잎 백차","프롬해빗","꽃차","꽃, 과일","O","안정 및 숙면",\N,"https://smartstore.naver.com/fromhabbit/products/5889189777?NaPm=ct%3Dkvzkrmoh%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D927bd61f5f9f526f830711ff0eb0cc66e9a2aa4b","590","26","2021-11-14 21:16:36","2021-11-14 21:16:36"
